timestamp,O_w_BLO_Axis_Ctrl,I_w_BLO_Weg,O_w_BLO_energy,O_w_BLO_current,O_w_BLO_power,O_w_BLO_voltage,O_w_BHL_Axis_Ctrl,I_w_BHL_Weg,O_w_BHL_energy,O_w_BHL_current,O_w_BHL_power,O_w_BHL_voltage,O_w_BHR_Axis_Ctrl,I_w_BHR_Weg,O_w_BHR_energy,O_w_BHR_current,O_w_BHR_power,O_w_BHR_voltage,O_w_BRU_Axis_Ctrl,I_w_BRU_Weg,O_w_BRU_energy,O_w_BRU_current,O_w_BRU_power,O_w_BRU_voltage,O_w_HAR_Ctrl,I_w_HR_Weg,O_w_HR_energy,O_w_HR_current,O_w_HR_power,O_w_HR_voltage,O_w_HAL_Ctrl,I_w_HL_Weg,O_w_HL_energy,O_w_HL_current,O_w_HL_power,O_w_HL_voltage,O_i_energie_gesamt
63601504452.906,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,0,0,143324232,0,0,0,0,0,143428110,0,0,0,330834
63601504452.96,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,6144,0,143324232,0,0,0,6144,0,143428110,0,0,0,330834
63601504453.016,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,6144,0,143324232,0,0,0,6144,0,143428110,0,0,0,330834
63601504453.071,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,6144,0,143324232,0,0,0,6144,0,143428110,0,0,0,330834
63601504453.116,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,6144,0,143324232,0,0,0,6144,0,143428110,0,0,0,330834
63601504453.227,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,6144,0,143324232,0,0,0,6144,0,143428110,0,0,0,330834
63601504453.282,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1772,15076,29,2048,0,143428110,1776,15562,26,330834
63601504453.339,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1772,15076,29,2048,0,143428110,1776,15562,26,330834
63601504453.383,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1772,15076,29,2048,0,143428110,1776,15562,26,330834
63601504453.445,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1850,20911,29,2048,0,143428110,1881,16138,27,330834
63601504453.489,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1850,20911,29,2048,0,143428110,1881,16138,27,330834
63601504453.6,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1850,20911,29,2048,0,143428110,1881,16138,27,330834
63601504453.652,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1850,20911,29,2048,0,143428110,1881,16138,27,330834
63601504453.717,0,-109,7831899,0,0,0,0,0,12483812,1,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1822,16642,29,2048,0,143428110,1864,17560,27,330834
63601504453.763,0,-109,7831899,0,0,0,0,0,12483812,1,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1822,16642,29,2048,0,143428110,1864,17560,27,330834
63601504453.821,0,-109,7831899,0,0,0,0,0,12483812,1,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1822,16642,29,2048,0,143428110,1864,17560,27,330834
63601504453.865,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1792,15967,29,2048,0,143428110,1833,16723,27,330834
63601504453.943,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1792,15967,29,2048,0,143428110,1833,16723,27,330834
63601504454.043,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1792,15967,29,2048,0,143428110,1833,16723,27,330834
63601504454.102,0,-109,7831899,1,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1792,15967,29,2048,0,143428110,1833,16723,27,330834
63601504454.16,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1763,15049,29,2048,0,143428110,1818,16318,27,330834
63601504454.221,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1763,15049,29,2048,0,143428110,1818,16318,27,330834
63601504454.272,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1763,15049,29,2048,0,143428110,1818,16318,27,330834
63601504454.316,0,-109,7831899,0,0,0,0,0,12483812,0,0,0,0,-1265,12294911,0,0,0,0,-17,8790053,0,0,0,2048,0,143324232,1763,15049,29,2048,0,143428110,1818,16318,27,330834
63601504454.425,0,-109,0,1,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,7,2,142,206,2665,13,2048,0,6110,1736,14374,29,2048,0,5878,1804,14136,26,330834
63601504454.482,0,-109,0,1,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,7,2,142,206,2665,13,2048,0,6110,1736,14374,29,2048,0,5878,1804,14136,26,330834
63601504454.53,0,-109,0,1,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,7,2,142,206,2665,13,2048,0,6110,1736,14374,29,2048,0,5878,1804,14136,26,330834
63601504454.582,0,-109,0,0,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,3,41,3631,390,23580,60,2048,0,16473,1723,13753,27,2048,0,16179,1789,13746,26,330834
63601504454.63,0,-109,0,0,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,3,41,3631,390,23580,60,2048,0,16473,1723,13753,27,2048,0,16179,1789,13746,26,330834
63601504454.691,0,-109,0,0,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,3,41,3631,390,23580,60,2048,0,16473,1723,13753,27,2048,0,16179,1789,13746,26,330834
63601504454.803,0,-109,0,0,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,3,123,8805,390,21505,56,2048,0,27037,1703,12997,27,2048,0,26770,1759,13356,26,330834
63601504454.853,0,-109,0,0,0,0,0,0,0,0,0,0,0,-1265,0,0,0,0,3,123,8805,390,21505,56,2048,0,27037,1703,12997,27,2048,0,26770,1759,13356,26,330834
